timestamp,lidar_cm,accel_mag
1776023072145,64,9.884073047079326
1776023072752,70,9.630960492079696
1776023073354,70,9.755870027834524
1776023073962,54,9.875636688335593
1776023074556,53,9.832853095617772
1776023075163,53,9.74787156255149
1776023075764,54,9.907663700388705
1776023076362,55,9.825731524929836
1776023076969,55,9.756198029970486
1776023077563,55,9.75312257689813
1776023078164,61,9.793028132299018
1776023078764,55,9.710540664659202
1776023079365,55,9.75312257689813
1776023079965,61,9.756608017133825
1776023080574,61,9.793273201539922
1776023081172,55,9.74787156255149
1776023081773,55,9.835740948195006
1776023082375,55,9.75045639957433
1776023082976,61,9.745614398281928
1776023083586,55,10.04041831797859
1776023084195,55,9.799071384575173
1776023084793,55,9.755870027834524
1776023085394,55,9.838953196351735
1776023085996,55,9.75595202940236
1776023086593,55,9.799479578018415
1776023087195,55,9.792946441189187
1776023087794,55,9.75037435178773
1776023088396,55,9.875636688335593
1776023088994,55,9.832934455186814
1776023089594,55,9.830289924513925
1776023090193,55,9.832934455186814
1776023090796,55,9.75045639957433
1776023091404,55,9.673313806550473
1776023092003,55,9.832934455186814
1776023092604,55,9.71313543609889
1776023093205,55,9.830940951912996
1776023093805,61,9.830534064841036
1776023094405,55,9.8728415362549
1776023095014,55,9.830289924513925
1776023095614,55,9.670625626090589
1776023096214,67,9.793028132299018
1776023096814,69,9.705678750092648
1776023097414,67,9.830940951912996
1776023098019,68,9.75045639957433
1776023098623,67,9.795846058406593
1776023099226,67,10.70856199496459
1776023099834,65,9.873084624371453
1776023100435,67,10.505684175721255
1776023101046,67,9.708686831904714
1776023101643,67,9.588169794074362
1776023102244,67,9.920791299084968
1776023102844,67,9.75595202940236
1776023103449,67,9.753040551540838
1776023104046,67,9.75312257689813
1776023104645,68,9.787798526737255
1776023105256,67,9.623855776142948
1776023105863,68,9.668019445574156
1776023106466,66,9.798744817577402
1776023107067,67,9.870207697915987
1776023107674,68,9.753368648831028
1776023108277,67,9.836391614814856
1776023108876,15,10.019386208745523
1776023109474,33,9.84104161153686
1776023110075,66,9.708274820996776
1776023110675,67,9.75312257689813
1776023111274,67,9.75595202940236
1776023111875,66,9.750702538791757
1776023112475,66,9.631957225818644
1776023113072,67,9.75595202940236
1776023113673,67,9.833585307506109
1776023114277,67,9.91339497851266
1776023114889,67,9.835740948195006
